sentence,label,Article_ID,Sentence_Index,Total_Sentences,Role,Specificity_Score,Conditional_Future,Privacy_Security,Public_Impact
വയനാട്: സർക്കാർ ആശുപത്രികളിൽ ഡിജിറ്റൽ ആരോഗ്യ കാർഡ് സംവിധാനം ഘട്ടംഘട്ടമായി നടപ്പാക്കുമെന്ന് ആരോഗ്യ വകുപ്പ് അറിയിച്ചു.,1,ART_0000,0,13,EVENT,0,0,0,0
"ആദ്യഘട്ടത്തിൽ മഞ്ചേരി, തിരൂർ, പൊന്നാനി ജില്ലകളിലെ തിരഞ്ഞെടുക്കപ്പെട്ട ആശുപത്രികളിലാണ് പദ്ധതി ആരംഭിക്കുക.",1,ART_0000,1,13,SCALE,2,0,0,0
രോഗികളുടെ വിവരസുരക്ഷ ഉറപ്പാക്കാൻ പ്രത്യേക എൻക്രിപ്ഷൻ സംവിധാനം ഉപയോഗിക്കുമെന്ന് അധികൃതർ അറിയിച്ചു.,1,ART_0000,2,13,PRIVACY_SECURITY,0,0,1,0
പ്രായമായവർക്കും സ്മാർട്ട്‌ഫോൺ ഉപയോഗിക്കാൻ ബുദ്ധിമുട്ടുള്ളവർക്കും സഹായകേന്ദ്രങ്ങൾ ആശുപത്രികളിൽ ഒരുക്കും.,0,ART_0000,3,13,GENERAL_DETAIL,0,0,0,0
ആശുപത്രി ജീവനക്കാർക്കും ഡോക്ടർമാർക്കും പുതിയ സോഫ്റ്റ്‌വെയർ ഉപയോഗിക്കുന്നതിനുള്ള പരിശീലനം അടുത്ത ആഴ്ച ആരംഭിക്കും.,0,ART_0000,4,13,IMPLEMENTATION_DETAIL,0,0,0,0
ആദ്യഘട്ടം വിജയകരമായാൽ ആറുമാസത്തിനകം എല്ലാ ജില്ലാ ആശുപത്രികളിലേക്കും സംവിധാനം വ്യാപിപ്പിക്കാനാണ് തീരുമാനം.,0,ART_0000,5,13,POSSIBLE_FUTURE,1,1,0,0
ഗ്രാമപ്രദേശങ്ങളിലെ ഇന്റർനെറ്റ് സൗകര്യം മെച്ചപ്പെടുത്തേണ്ടത് പദ്ധതിയുടെ വിജയത്തിന് നിർണായകമാണെന്ന് വിദഗ്ധർ അഭിപ്രായപ്പെട്ടു.,0,ART_0000,6,13,REACTION_BACKGROUND,0,0,0,0
"രോഗികളുടെ ചികിത്സാ ചരിത്രം, പരിശോധനാഫലങ്ങൾ, മരുന്ന് വിവരങ്ങൾ എന്നിവ ഏകീകൃത ഡിജിറ്റൽ രേഖയായി സൂക്ഷിക്കുന്നതാണ് പദ്ധതിയുടെ പ്രധാന ലക്ഷ്യം.",1,ART_0000,7,13,PURPOSE_GOAL,0,0,0,0
പദ്ധതിക്കായി ആദ്യഘട്ടത്തിൽ 8 കോടി രൂപ അനുവദിച്ചതായി ധനവകുപ്പ് വ്യക്തമാക്കി.,1,ART_0000,8,13,BUDGET,4,0,0,0
ഡോക്ടർമാർക്ക് രോഗിയുടെ മുൻകാല ആരോഗ്യവിവരങ്ങൾ വേഗത്തിൽ ലഭ്യമാകുന്നതോടെ ചികിത്സാ തീരുമാനങ്ങൾ കൂടുതൽ കൃത്യമാകും.,0,ART_0000,9,13,GENERAL_DETAIL,0,0,0,0
പദ്ധതിയുടെ പുരോഗതി വിലയിരുത്താൻ സംസ്ഥാനതല നിരീക്ഷണ സമിതി രൂപീകരിക്കും.,0,ART_0000,10,13,GENERAL_DETAIL,0,0,0,0
