Article_ID,Numbered_Source_Text,Original_Abstractive_Summary,Your_Extractive_Labels,Annotator_Name
82049,"[0] മലപ്പുറം: ജില്ലയില്‍ ഇന്ന് 832 പേര്‍ വിദഗ്ദ ചികിത്സക്ക് ശേഷം കോവിഡ് രോഗമുക്തരായതായി ജില്ലാ കലക്ടര്‍ കെ
[1] ഗോപാലകൃഷ്ണന്‍ അറിയിച്ചു
[2] ഇതോടെ 33,374 പേരാണ് ജില്ലയില്‍ രോഗമുക്തി നേടിയത്
[3] അതേസമയം 668 പേര്‍ക്കാണ് ഇന്ന് പുതുതായി കോവിഡ് 19 സ്ഥിരീകരിച്ചതെന്നും ജില്ലാ കലക്ടര്‍ അറിയിച്ചു
[4] ഇതില്‍ 602 പേര്‍ നേരിട്ടുള്ള സമ്പര്‍ക്കത്തിലൂടെ വൈറസ് ബാധിതരായപ്പോള്‍ 51 പേര്‍ക്ക് ഉറവിടമറിയാതെയാണ് രോഗബാധയുണ്ടായത്
[5] കൂടാതെ രണ്ട് ആരോഗ്യ പ്രവര്‍ത്തകര്‍ക്കും ഇന്ന് രോഗം സ്ഥിരീകരിച്ചിട്ടുണ്ട്
[6] വൈറസ്ബാധ സ്ഥിരീകരിച്ചവരില്‍ രണ്ട് പേര്‍ ഇതര സംസ്ഥാനങ്ങളില്‍ നിന്നെത്തിയവരും 11 പേര്‍ വിവിധ വിദേശ രാജ്യങ്ങളില്‍ നിന്നെത്തിയവരുമാണ്
[7] രോഗബാധിതരുടെ എണ്ണത്തില്‍ കുറവുണ്ടെങ്കിലും പൊതുജനാരോഗ്യം മുന്‍നിര്‍ത്തി ജില്ലയില്‍ പ്രഖ്യാപിച്ച നിയന്ത്രണങ്ങള്‍ പാലിക്കാന്‍ എല്ലാവരും ശ്രദ്ധിക്കണമെന്നും ഇക്കാര്യത്തില്‍ വീഴ്ച വരുത്തുന്നവര്‍ക്കെതിരെ കര്‍ശന നിയമ നടപടികള്‍ സ്വീകരിക്കുമെന്നും ജില്ലാ കലക്ടര്‍ വ്യക്തമാക്കി",രോഗബാധിതരുടെ എണ്ണത്തിൽ കുറവുണ്ടെങ്കിലും പൊതുജനാരോഗ്യം മുൻനിർത്തി ജില്ലയിൽ പ്രഖ്യാപിച്ച നിയന്ത്രണങ്ങൾ പാലിക്കാൻ എല്ലാവരും ശ്രദ്ധിക്കണമെന്നും ഇക്കാര്യത്തിൽ വീഴ്ച വരുത്തുന്നവർക്കെതിരെ കർശന നിയമ നടപടികൾ സ്വീകരിക്കുമെന്നും ജില്ലാ കലക്ടർ വ്യക്തമാക്കി. വൈറസ്ബാധ സ്ഥിരീകരിച്ചവരിൽ രണ്ട് പേർ ഇതര സംസ്ഥാനങ്ങളിൽ നിന്നെത്തിയവരും 11 പേർ വിവിധ വിദേശ രാജ്യങ്ങളിൽ നിന്നെത്തിയവരുമാണ്.,,
87503,"[0] റിയാദ്: പശ്ചിമേഷ്യയിലെ രണ്ട് ചേരികള്‍ക്ക് നേതൃത്വം നല്‍കുന്ന സൗദി അറേബ്യയും ഇറാനും തമ്മിലുള്ള ചര്‍ച്ചകള്‍ പുരോഗമിക്കുന്നു
[1] നാല് വട്ട ചര്‍ച്ചകള്‍ പൂര്‍ത്തിയായി
[2] അഞ്ചാംവട്ട ചര്‍ച്ച വൈകാതെ നടക്കാനിരിക്കെയാണ്, ഇതുവരെയുള്ള ചര്‍ച്ചകളുടെ വിവരങ്ങള്‍ പുറത്തുവന്നിരിക്കുന്നത്
[3] സൗദി അറേബ്യയും ഇറാനും വ്യത്യസ്തമായ ആവശ്യങ്ങളാണ് ഉന്നയിച്ചിരിക്കുന്നതെന്ന് ബ്ലൂംബെര്‍ഗ് ടെലിവിഷന്‍ റിപ്പോര്‍ട്ട് ചെയ്യുന്നു
[4] ഇരുരാജ്യങ്ങളുടെയും പ്രതിനിധികളെ ഉദ്ധരിച്ചാണ് റിപ്പോര്‍ട്ട്
[5] ഇറാഖിന്റെ മധ്യസ്ഥതയിലാണ് ചര്‍ച്ചകള്‍
[6] സൗദിയും ഇറാനും ഐക്യത്തിലെത്തിയാല്‍ അത് പശ്ചിമേഷ്യയെ മാറ്റിമറിക്കും
[7] അമേരിക്കയിലെ ജോ ബൈഡന്‍ ഭരണകൂടവും സൗദി-ഇറാന്‍ ചര്‍ച്ചകള്‍ക്ക് അനുകൂലമായതോടെയാണ് നടപടികള്‍ക്ക് വേഗത കൂടിയത്
[8] ഗള്‍ഫിനെ കൂടുതലായി ആശ്രയിക്കുന്ന മലയാളികള്‍ ഉള്‍പ്പെടെയുള്ളവര്‍ ഉറ്റുനോക്കുന്ന ചര്‍ച്ചകളാണ് പുരോഗമിക്കുന്നത്
[9] വിശദാംശങ്ങള്‍ ഇങ്ങനെ..",അമേരിക്കയിലെ ജോ ബൈഡൻ ഭരണകൂടവും സൌദി-ഇറാൻ ചർച്ചകൾക്ക് അനുകൂലമായതോടെയാണ് നടപടികൾക്ക് വേഗത കൂടിയത്. പശ്ചിമേഷ്യയിലെ രണ്ട് ചേരികൾക്ക് നേതൃത്വം നൽകുന്ന സൌദി അറേബ്യയും ഇറാനും തമ്മിലുള്ള ചർച്ചകൾ പുരോഗമിക്കുന്നു.,,
48920,"[0] കോലാലമ്പൂര്‍: വിവര സാങ്കേതിക രംഗത്തെ ഇപ്പോഴത്തെ അനിശ്ചിതാവസ്ഥ ഏഷ്യയിര്‍ 2003 ാടെ അവസാനിയ്ക്കുമെന്ന് വിദഗ്ദര്‍
[1] എന്നാല്‍ അമേരിക്കയില്‍ ഇതേ സമയം തന്നെ പ്രശ്നങ്ങള്‍ അവസാനിയ്ക്കണമെന്നില്ല
[2] അമേരിയ്ക്ക ഇറാക്കിനെ ആക്രമിയ്ക്കാന്‍ തയ്യാറെടുക്കുന്നതുകൊണ്ടാണിത്
[3] ഇന്റലിന്റെ ഏഷ്യാ പെസഫിക്ക ജനറല്‍ മാനേജരായ ക്രിസ്റ്യന്‍ മോറല്‍സാണ് ഈ അഭിപ്രായം പ്രകടിപ്പിയ്ക്കുന്നത്
[4] ജപ്പാനിലെ തോഷിബാ കോര്‍പ്പറേഷനിലെ ഒകാമുറയും ഇതേ അഭിപ്രായക്കാരനാണ്
[5] പ്രക്ഷേപണ സാങ്കേതിക വിദ്യയിലും ബ്രോഡ് ബാന്‍ഡ് സാങ്കേതിക വിദ്യയിലും വലിയ മാറ്റങ്ങള്‍ വരുമെന്നാണ് ഒകാമുറ പറയുന്നത്",വിവര സാങ്കേതിക രംഗത്തെ ഇപ്പോഴത്തെ അനിശ്ചിതാവസ്ഥ ഏഷ്യയിർ 2003 ാടെ അവസാനിയ്ക്കുമെന്ന് വിദഗ്ദർ. പ്രക്ഷേപണ സാങ്കേതിക വിദ്യയിലും ബ്രോഡ് ബാൻഡ് സാങ്കേതിക വിദ്യയിലും വലിയ മാറ്റങ്ങൾ വരുമെന്നാണ് ഒകാമുറ പറയുന്നത്.,,
35275,"[0] ബെയ്ജിങ് ∙ പുതിയ കൊറോണ വൈറസ് മൂലം ചൈനയിൽ മരിച്ചവരുടെ എണ്ണം 170
[1] 8100 പേർക്കു രോഗം സ്ഥിരീകരിച്ചു
[2] മരണസംഖ്യ ഇനിയും ഉയർന്നേക്കും
[3] ചൈനയ്ക്കു പുറത്ത് രോഗം സ്ഥിരീകരിച്ചവരുടെ എണ്ണം ഇതുവരെ 75 ആണ്
[4] ഇന്ത്യയടക്കം 20 രാജ്യങ്ങളിലാണ് രോഗം പടർന്നിട്ടുള്ളത്
[5] ചൈനയിൽ ഇതുവരെ വൈറസ് ബാധയുണ്ടാകാതിരുന്ന ടിബറ്റിൽ ആദ്യ കേസ് റിപ്പോർട്ട് ചെയ്തു",∙ പുതിയ കൊറോണ വൈറസ് മൂലം ചൈനയിൽ മരിച്ചവരുടെ എണ്ണം 170. ചൈനയിൽ ഇതുവരെ വൈറസ് ബാധയുണ്ടാകാതിരുന്ന ടിബറ്റിൽ ആദ്യ കേസ് റിപ്പോർട്ട് ചെയ്തു.,,
88812,"[0] കൊച്ചി: മലയാള സിനിമാ ഇന്‍ഡസ്ട്രിയിലെ പ്രശ്‌നങ്ങളാണ് ഡബ്ല്യുസിസി അംഗങ്ങള്‍ ഹേമ കമ്മീഷനോട് പറഞ്ഞതെന്നും, അത് പുറത്തുവിടാതിരിക്കുന്നത് ശരിയല്ലെന്നും റിമ കല്ലിങ്കല്‍
[1] റിപ്പോര്‍ട്ട് ടിവിയോടായിരുന്നു അവരുടെ പ്രതികരണം
[2] മലയാള സിനിമയില്‍ നടി ആക്രമിക്കപ്പെട്ടത് പോലെയുള്ള സംഭവങ്ങള്‍ ഇനി ആവര്‍ത്തിക്കരുത്
[3] അതുകൊണ്ടാണ് ഹേമ കമ്മീഷന്‍ റിപ്പോര്‍ട്ട് എന്തുകൊണ്ട് നടപ്പാക്കുന്നില്ലെന്ന് ചോദിക്കുന്നത്
[4] സര്‍ക്കാര്‍ അത് നടപ്പിലാക്കുന്നില്ല എന്ന് വീണ്ടും ആവര്‍ത്തിക്കുന്നതും അതുകൊണ്ടാണ്
[5] നമ്മുടെ സപ്പോര്‍ട്ട് സോഷ്യല്‍ മീഡിയയില്‍ പോസ്റ്റ് ഷെയര്‍ ചെയ്യുന്നതില്‍ മാത്രമായി ഒതുക്കരുതെന്നും റിമ പറയുന്നു","മലയാള സിനിമാ ഇൻഡസ്ട്രിയിലെ പ്രശ്നങ്ങളാണ് ഡബ്ല്യുസിസി അംഗങ്ങൾ ഹേമ കമ്മീഷനോട് പറഞ്ഞതെന്നും, അത് പുറത്തുവിടാതിരിക്കുന്നത് ശരിയല്ലെന്നും റിമ കല്ലിങ്കൽ. നമ്മുടെ സപ്പോർട്ട് സോഷ്യൽ മീഡിയയിൽ പോസ്റ്റ് ഷെയർ ചെയ്യുന്നതിൽ മാത്രമായി ഒതുക്കരുതെന്നും റിമ പറയുന്നു.",,
68005,"[0] ദില്ലി: പ്രധാനമന്ത്രി നരേന്ദ്ര മോഡിയുടെ ബിഎ ഡിഗ്രിയുമായി ബന്ധപ്പെട്ട വിവാദത്തിന് അവസാനമില്ല
[1] ബിരുദ സര്‍ട്ടിഫിക്കറ്റ് ആധികാരികമാണെന്ന് ദില്ലി സര്‍വകലാശാല പറയുമ്പോള്‍ ബിരുദം വ്യാജമാണെന്ന് ആം ആദ്മി പാര്‍ട്ടി ആവര്‍ത്തിക്കുകയാണ്
[2] നേരത്തെ ആം ആദ്മി പാര്‍ട്ടി ചൂണ്ടിക്കാട്ടിയ പിശകിനെക്കുറിച്ചും സര്‍വകലാശാല വിശദീകരിച്ചു
[3] മോദിയുടെ സര്‍ട്ടിഫിക്കറ്റിലുള്ള വര്‍ഷത്തില്‍ ദുരൂഹതയുണ്ടെന്നായിരുന്നു ആം ആദ്മി ആരോപിച്ചിരുന്നത്
[4] 1978ല്‍ ബിഎ പരീക്ഷ പാസായ മോദിക്ക് 1979ല്‍ സര്‍ട്ടിഫിക്കറ്റ് കൈമാറിയിരുന്നു
[5] എന്നാല്‍ ഈ വര്‍ഷം തെറ്റായി രേഖപ്പെടുത്തിയതാണെന്ന് ദില്ലി യൂണിവേഴ്‌സിറ്റി രജിസ്ട്രാര്‍ തരുണ്‍ ദാസ് പറഞ്ഞു",ബിരുദ സർട്ടിഫിക്കറ്റ് ആധികാരികമാണെന്ന് ദില്ലി സർവകലാശാല പറയുമ്പോൾ ബിരുദം വ്യാജമാണെന്ന് ആം ആദ്മി പാർട്ടി ആവർത്തിക്കുകയാണ്. എന്നാൽ ഈ വർഷം തെറ്റായി രേഖപ്പെടുത്തിയതാണെന്ന് ദില്ലി യൂണിവേഴ്സിറ്റി രജിസ്ട്രാർ തരുൺ ദാസ് പറഞ്ഞു.,,
85478,"[0] ദില്ലിയിലെ സഫ്ദർജങ് ഹോസ്പിറ്റൽ ആൻഡ് വിഎംഎംസിയിൽ അവസരം
[1] ജൂനിയർ റസിഡന്റ്, സീനിയർ റസിഡന്റ് തസ്തികളിലായാണ് ഒഴിവ്
[2] 96 ഒഴിവുകളിലേക്കാണ് ഇപ്പോൾ അപേക്ഷ ക്ഷണിച്ചിരിക്കുന്നത്
[3] 6 മാസ കരാർ നിയമനം
[4] മേയ് 19, 20 തീയതികളിൽ ഓൺലൈൻ ഇന്റർവ്യൂ
[5] സീനിയർ റസിഡന്റ് (അനസ്തീസിയ, മെഡിസിൻ ആൻഡ് അലൈഡ് ബ്രാഞ്ചസ്, റെസ്പിരേറ്ററി മെഡിസിൻ, ഒബ്സ്റ്റട്രിക്സ് ആൻഡ് ഗൈനക്): എംബിബിഎസിനു ശേഷം പിജി ബിരുദം/ഡിപ്ലോമ
[6] അല്ലെങ്കിൽ എംബിബിഎസും 2 വർഷ പരിചയവും
[7] 90,000 രൂപ","സീനിയർ റസിഡന്റ് (അനസ്തീസിയ, മെഡിസിൻ ആൻഡ് അലൈഡ് ബ്രാഞ്ചസ്, റെസ്പിരേറ്ററി മെഡിസിൻ, ഒബ്സ്റ്റട്രിക്സ് ആൻഡ് ഗൈനക്): എംബിബിഎസിനു ശേഷം പിജി ബിരുദം/ഡിപ്ലോമ. ജൂനിയർ റസിഡന്റ്, സീനിയർ റസിഡന്റ് തസ്തികളിലായാണ് ഒഴിവ്.",,
56755,"[0] ദില്ലി: ചൊവ്വാഴ്‌ച നടക്കുമെന്ന്‌ പ്രഖ്യാപിച്ചിരുന്ന കേന്ദ്ര മന്ത്രിസഭാ വികസനം നീളുമെന്ന്‌ സൂചന
[1] സഹമന്ത്രിമാരടക്കം 36 മന്ത്രിമാര്‍ ചൊവ്വാഴ്‌ച സത്യപ്രതിജ്ഞ ചെയ്‌തേക്കുമെന്നായിരുന്നു നേരത്തെ യുപിഎ നേതൃത്വം അറിയിച്ചിരുന്നത്‌
[2] ഘടകകക്ഷികള്‍ ഉയര്‍ത്തുന്ന അവകാശവാദങ്ങള്‍ക്ക്‌ പുറമെ കോണ്‍ഗ്രസിനുള്ളിലെ സ്ഥാനമോഹികളുടെ ആധിക്യവുമാണ്‌ മന്ത്രിസഭാ വികസനത്തെ വൈകിപ്പിയ്‌ക്കുന്നത്‌
[3] പാര്‍ട്ടി അധ്യക്ഷ സോണിയ ഗാന്ധിയും പ്രധാനമന്ത്രി മന്‍മോഹന്‍ സിങും തിങ്കളാഴ്‌ച പലവട്ടം ഇക്കാര്യത്തില്‍ ചര്‍ച്ച നടത്തിയിട്ടും അവസാന പട്ടിക തയാറാക്കാന്‍ കഴിഞ്ഞിട്ടില്ല
[4] രാഷ്ട്രപതി ഭവനിലേക്ക്‌ കൊടുത്തു വിടേണ്ട മന്ത്രിമാരുടെ പട്ടിക തിങ്കളാഴ്‌ച രാത്രി വൈകിയിട്ടും നല്‌കിയിട്ടില്ല
[5] ചൊവ്വാഴ്‌ച പ്രധാനമന്ത്രിയുടെ നേതൃത്വത്തില്‍ കൂടുതല്‍ ചര്‍ച്ചകള്‍ നടക്കുമെന്നാണ്‌ റിപ്പോര്‍ട്ടുകള്‍",പാർട്ടി അധ്യക്ഷ സോണിയ ഗാന്ധിയും പ്രധാനമന്ത്രി മൻമോഹൻ സിങും തിങ്കളാഴ്ച പലവട്ടം ഇക്കാര്യത്തിൽ ചർച്ച നടത്തിയിട്ടും അവസാന പട്ടിക തയാറാക്കാൻ കഴിഞ്ഞിട്ടില്ല. ഘടകകക്ഷികൾ ഉയർത്തുന്ന അവകാശവാദങ്ങൾക്ക് പുറമെ കോൺഗ്രസിനുള്ളിലെ സ്ഥാനമോഹികളുടെ ആധിക്യവുമാണ് മന്ത്രിസഭാ വികസനത്തെ വൈകിപ്പിയ്ക്കുന്നത്.,,
73803,"[0] ബിഷപ്പ് ഫ്രാങ്കോ മുളയ്ക്കലിനെതിരെ പീഡന പരാതി നൽകിയ കന്യാസ്ത്രീയെ വിമർശിക്കുന്നവർക്ക് മറുപടിയുമായി എഴുത്തുകാരി ശാരദക്കുട്ടി
[1] പീഡന പരാതി കന്യാസ്ത്രീ പുറത്ത് പറയാൻ വൈകിയതെന്ത് കൊണ്ടാണ്, കന്യാസ്ത്രീയുടെ ഭാഗത്തും തെറ്റില്ലേ? തുടങ്ങിയ സംശയങ്ങളാണ് ഇത്തരം വിമർ‌ശകർ ഉന്നയിക്കുന്ന സംശയം
[2] ഇത്തരം ആരോപണങ്ങളുടെ മുനയൊടിക്കുകയാണ് ശാരദക്കുട്ടി
[3] നിവൃത്തികേടിന്റെയും സിസ്സഹായതയുടെയും ആൾ‌രൂപങ്ങൾ കന്യാസ്ത്രീ മഠത്തിൽ മാത്രമല്ല നിങ്ങളുടെയൊക്കെ വീടുകളിലും ഉണ്ടാകും
[4] അവരെന്താ ഒന്നും പുറത്ത് പറയാത്തത്
[5] ഫേസ്ബുക്ക് പോസ്റ്റിൽ ശാരദക്കുട്ടി ചോദിക്കുന്നു","പീഡന പരാതി കന്യാസ്ത്രീ പുറത്ത് പറയാൻ വൈകിയതെന്ത് കൊണ്ടാണ്, കന്യാസ്ത്രീയുടെ ഭാഗത്തും തെറ്റില്ലേ? ഫ്രാങ്കോ മുളയ്ക്കലിനെതിരെ പീഡന പരാതി നൽകിയ കന്യാസ്ത്രീയെ വിമർശിക്കുന്നവർക്ക് മറുപടിയുമായി എഴുത്തുകാരി ശാരദക്കുട്ടി.",,
12714,"[0] ഓർമയെ വിശ്വസിക്കാമെങ്കിൽ, 'ഓക്കേ' കമ്പനി പ്രസിദ്ധീകരിച്ച ആർഎംപി റെക്കോഡിൽ അമേരിക്കയിലെ ആദ്യകാല ബ്ലൂസ് ഗായിക സാറാ മാർട്ടിൻ പാടിയ ഗാനത്തിൽനിന്നുള്ള വരികളാണ് – ‘ഞാൻ മരിച്ചുപോകാൻ ആശപ്പെടുന്നില്ല, സാധിക്കുകയുമില്ല
[1] നിങ്ങൾ എന്നെ കുഴിമാടത്തിൽനിന്നും ഉയർത്തിയെടുക്കുമല്ലോ’
[2] ഇങ്ങനെ ഒരു പ്രതീക്ഷയും വിശ്വാസവും വച്ചുപുലത്തിയ മൈക്കൽ ജാക്സൺ അൻപതാം വയസിൽതന്നെ മരിച്ചു
[3] മരണത്തെ അദ്ദേഹം വളരെ ഭയപ്പെട്ടിരുന്നു
[4] അതുകൊണ്ട് കാലിഫോർണിയയിൽ 2700 ഏക്കർ പുരയിടത്തിൽ നൂറ്റെഴുപതു ലക്ഷം ഡോളർ ചെലവാക്കി ഒരു മണിമാളിക അദ്ദേഹം നിർമിച്ചു
[5] സുരക്ഷാ ജോലിക്കുമാത്രം നൂറിലേറെ സായുധ ഭടന്മാരെ നിയമിച്ചു
[6] ചെറിയ സുഖക്കേടുകളിൽപോലും ആധിപിടിച്ചു
[7] വിശ്വോത്തര വിദഗ്ധന്മാർ മനുഷ്യസാധ്യമായ സകല ആരോഗ്യപരിചരണങ്ങളും അദ്ദേഹത്തിനു നൽകി
[8] എന്നിട്ടും പാശ്ചാത്യ സംഗീതജ്ഞരുടെ ശരാശരി ആയുസുപോലും പോപ് സംഗീതത്തിലെ ഇടിമുഴക്കമായ മൈക്കൽ ജാക്സണു ലഭിച്ചില്ല
[9] അദ്ദേഹം നേരത്തേ മരിച്ചു
[10] പക്ഷേ ജാക്സൺ ഉള്ളിൽ കൊണ്ടുനടന്ന മോഹം സാധിച്ചു, ഇന്നും ലോകത്തിലെ ഏറ്റവും ജനപ്രിയ ഗായകൻ മൈക്കൽ ജാക്സൺതന്നെ","വിശ്വസിക്കാമെങ്കിൽ, 'ഓക്കേ' കമ്പനി പ്രസിദ്ധീകരിച്ച ആർഎംപി റെക്കോഡിൽ അമേരിക്കയിലെ ആദ്യകാല ബ്ലൂസ് ഗായിക സാറാ മാർട്ടിൻ പാടിയ ഗാനത്തിൽനിന്നുള്ള വരികളാണ് - 'ഞാൻ മരിച്ചുപോകാൻ ആശപ്പെടുന്നില്ല, സാധിക്കുകയുമില്ല. പക്ഷേ ജാക്സൺ ഉള്ളിൽ കൊണ്ടുനടന്ന മോഹം സാധിച്ചു, ഇന്നും ലോകത്തിലെ ഏറ്റവും ജനപ്രിയ ഗായകൻ മൈക്കൽ ജാക്സൺതന്നെ.",,
