Article_ID,Numbered_Source_Text,Original_Abstractive_Summary,Your_Extractive_Labels
62615,"[0] കറാച്ചി: പാകിസ്താനില്‍ പെണ്‍കുട്ടിയെ ബലാത്സംഗംചെയ്ത് ജീവനോടെ കുഴിച്ചിട്ടു
[1] ഭാഗ്യം കൊണ്ട് പെണ്‍കുട്ടി മണ്ണ് മാറ്റി രക്ഷപ്പെട്ടു
[2] പഞ്ചാബിലെ തോബ ടെക് സിങ് എന്ന സ്ഥലത്താണ് 13 കാരിയായ പെണ്‍കുട്ടി ക്രൂരമായ ബലാത്സംഗത്തിന് ഇരയായത്
[3] രണ്ട് പേര്‍ ചേര്‍ന്നാണ് പെണ്‍കുട്ടിയെ ബലാത്സംഗം ചെയ്തത്
[4] പെണ്‍കുട്ടി മരിച്ചു എന്ന് കരുതിയാണ് ഇവര്‍ കുഴിച്ചിട്ടത്",പഞ്ചാബിലെ തോബ ടെക് സിങ് എന്ന സ്ഥലത്താണ് 13 കാരിയായ പെൺകുട്ടി ക്രൂരമായ ബലാത്സംഗത്തിന് ഇരയായത്. ഭാഗ്യം കൊണ്ട് പെൺകുട്ടി മണ്ണ് മാറ്റി രക്ഷപ്പെട്ടു.,"0, 1, 2"
46994,"[0] തിരുവനന്തപുരം: ഗള്‍ഫില്‍ നിന്നും മടങ്ങിയെത്തിയ മലയാളികള്‍ക്കുള്ള ഇന്‍ഷുറന്‍സ് പദ്ധതി മൂന്ന് മാസത്തിനുള്ളില്‍ പ്രഖ്യാപിക്കുമെന്ന് പ്രവാസി വകുപ്പ് മന്ത്രി എം.എം
[1] ഹസ്സന്‍
[2] അപകടമായാലും മരണമായാലും അനുയോജ്യമായ ഇന്‍ഷുറന്‍സ് തുകയായിരിക്കും പദ്ധതിയിലൂടെ നല്കുന്നതെന്ന് ഹസന്‍ അറിയിച്ചു
[3] ജൂണ്‍ അഞ്ച് ചൊവാഴ്ച ആള്‍ കേരള ഗള്‍ഫ് റിട്ടേണീസ് ഓര്‍ഗനൈസേഷന്‍ സംഘടിപ്പിച്ച സ്വീകരണച്ചടങ്ങില്‍ സംസാരിക്കുകയായിരുന്നു മന്ത്രി
[4] ഗള്‍ഫില്‍ നിന്നും മടങ്ങിയെത്തിയവരുടെ പുനരധിവാസത്തിന് കര്‍മ്മപരിപാടി രൂപീകരിക്കുമെന്ന് ഹസന്‍ പറഞ്ഞു
[5] പ്രവാസി മലയാളികളുടെയും ഗള്‍ഫ് റിട്ടേണീസിന്റെയും സംഘടനകളുടെ ഒരു സമ്മേളനം പ്രവാസി വകുപ്പ് വിളിച്ച് അഭിപ്രായം ആരാഞ്ഞ ശേഷം കൂടുതല്‍ കര്‍മ്മപരിപാടികള്‍ ആവിഷ്കരിക്കുമെന്ന് ഹസന്‍ വ്യക്തമാക്കി",പ്രവാസി മലയാളികളുടെയും ഗൾഫ് റിട്ടേണീസിന്റെയും സംഘടനകളുടെ ഒരു സമ്മേളനം പ്രവാസി വകുപ്പ് വിളിച്ച് അഭിപ്രായം ആരാഞ്ഞ ശേഷം കൂടുതൽ കർമ്മപരിപാടികൾ ആവിഷ്കരിക്കുമെന്ന് ഹസൻ വ്യക്തമാക്കി. ജൂൺ അഞ്ച് ചൊവാഴ്ച ആൾ കേരള ഗൾഫ് റിട്ടേണീസ് ഓർഗനൈസേഷൻ സംഘടിപ്പിച്ച സ്വീകരണച്ചടങ്ങിൽ സംസാരിക്കുകയായിരുന്നു മന്ത്രി.,"0, 1, 2"
22962,"[0] തിരുവനന്തപുരം∙ ഒമിക്രോൺ കേസുകൾ ഉൾപ്പെടെ വർധിക്കുന്ന സാഹചര്യത്തിൽ ഡിസംബർ 30 മുതൽ ജനുവരി 2 വരെ സംസ്ഥാനത്ത് രാത്രി കർഫ്യൂ ഏർപ്പെടുത്താൻ തീരുമാനിച്ചു
[1] രാത്രി 10 മുതൽ പുലർച്ചെ 5 വരെയാണ് നിയന്ത്രണം
[2] കടകൾ രാത്രി 10ന് അടയ്ക്കണം
[3] അനാവശ്യയാത്രകൾ അനുവദിക്കില്ല
[4] വാഹനപരിശോധന ശക്തമാക്കും
[5] മുഖ്യമന്ത്രി പിണറായി വിജയന്റെ അധ്യക്ഷതയിൽ ചേർന്ന കോവിഡ് അവലോകന യോഗത്തിലാണ് തീരുമാനം",ഒമിക്രോൺ കേസുകൾ ഉൾപ്പെടെ വർധിക്കുന്ന സാഹചര്യത്തിൽ ഡിസംബർ 30 മുതൽ ജനുവരി 2 വരെ സംസ്ഥാനത്ത് രാത്രി കർഫ്യൂ ഏർപ്പെടുത്താൻ തീരുമാനിച്ചു. മുഖ്യമന്ത്രി പിണറായി വിജയന്റെ അധ്യക്ഷതയിൽ ചേർന്ന കോവിഡ് അവലോകന യോഗത്തിലാണ് തീരുമാനം.,"0, 1, 2"
26017,"[0] തൃശൂര്‍∙ പുറ്റേക്കരയില്‍ മകന്‍ അച്ഛനെ തലയ്ക്കടിച്ച് കൊന്നു
[1] സംഭവത്തിന് ശേഷം മകന്‍ കീഴടങ്ങി
[2] മദ്യപിച്ചെത്തി അമ്മയെ സ്ഥിരമായി അച്ഛന്‍ ഉപദ്രവിച്ചിരുന്നതാണ് കൊലയ്ക്കു കാരണം
[3] തൃശൂര്‍ പുറ്റേക്കര സ്വദേശി ചിറ്റിലപ്പിള്ളി വീട്ടില്‍ തോമസ് ആണ് കൊല്ലപ്പെട്ടത്
[4] അറുപത്തിയഞ്ച് വയസായിരുന്നു",മദ്യപിച്ചെത്തി അമ്മയെ സ്ഥിരമായി അച്ഛൻ ഉപദ്രവിച്ചിരുന്നതാണ് കൊലയ്ക്കു കാരണം. തൃശൂർ പുറ്റേക്കര സ്വദേശി ചിറ്റിലപ്പിള്ളി വീട്ടിൽ തോമസ് ആണ് കൊല്ലപ്പെട്ടത് .,"0, 1, 2"
53574,"[0] മുംബൈ: ഓഹരി സൂചികയിലെ കുതിച്ചുകയറ്റം ഈയാഴ്ചയും തുടരുന്നു
[1] ചൊവ്വാഴ്ച ആദ്യത്ത അരമണിക്കൂര്‍ വ്യാപാരത്തിനുള്ളില്‍ സൂചിക 232.88 പോയിന്റ് ഉയര്‍ന്ന് പുതിയ ഉയരത്തിലെത്തി
[2] ശനിയാഴ്ച 191 പോയിന്റ് ഉയര്‍ന്ന സൂചിക ചൊവ്വാഴ്ച 12,103.78 പോയിന്റ് എന്ന നിലയിലാണ് വ്യാപാരം ആരംഭിച്ചത്
[3] തുടര്‍ന്ന് സൂചിക ഉയര്‍ന്ന് 12,217.77 പോയിന്റിലെത്തി
[4] നാഷണല്‍ സ്റോക്ക് എക്സ്ചേഞ്ച് സൂചിക 54.50 പോയിന്റ് ഉയര്‍ന്ന് 3612.05 എന്ന പുതിയ ഉയരത്തിലെത്തി","നാഷണൽ സ്റോക്ക് എക്സ്ചേഞ്ച് സൂചിക 54.50 പോയിന്റ് ഉയർന്ന് 3612.05 എന്ന പുതിയ ഉയരത്തിലെത്തി. ശനിയാഴ്ച 191 പോയിന്റ് ഉയർന്ന സൂചിക ചൊവ്വാഴ്ച 12,103.78 പോയിന്റ് എന്ന നിലയിലാണ് വ്യാപാരം ആരംഭിച്ചത്.","2, 3, 4"
80599,"[0] ഇടുക്കി: ജില്ലയില്‍ 14 പേര്‍ക്ക് കൂടി കോവിഡ് 19 സ്ഥിരീകരിച്ചതായി ജില്ലാ കളക്ടര്‍ അറിയിച്ചു
[1] 7 പേര്‍ക്ക് സമ്പര്‍ക്കത്തിലൂടെയാണ് രോഗം സ്ഥിരീകരിച്ചത്
[2] ഇതില്‍ 2 പേരുടെ രോഗ ഉറവിടം വ്യക്തമല്ല
[3] അതേസമയം, 32 പേര്‍ക്ക് രോഗം ഭേദമായി
[4] കൂടുതല്‍ പേര്‍ രോഗമുക്തി നേടുന്നത് ആശ്വാസകരമാണ്
[5] രോഗം ബാധിച്ചവരുടെയും രോഗമുക്തി നേടിയവരുടെയും വിവരങ്ങള്‍ ഇങ്ങനെ..
[6] ഉറവിടം വ്യക്തമല്ല",ജില്ലയിൽ 14 പേർക്ക് കൂടി കോവിഡ് 19 സ്ഥിരീകരിച്ചതായി ജില്ലാ കളക്ടർ അറിയിച്ചു. രോഗം ബാധിച്ചവരുടെയും രോഗമുക്തി നേടിയവരുടെയും വിവരങ്ങൾ ഇങ്ങനെ... ഉറവിടം വ്യക്തമല്ല,"0, 1, 2"
71735,"[0] ഫോട്ടോ ഷെയറിങ് ആപ്പായ ഇന്‍സ്റ്റഗ്രാം എല്ലാവരുടേയും പ്രീയപ്പെട്ട ആപ്ലിക്കേഷനാണ്
[1] ആപ്പില്‍ കയറി നമ്മുടെ ഫോട്ടോകള്‍ അപ്ലോഡ് ചെയ്യുന്നത് കൂടാതെ പലരുടേയും പോസ്റ്റുകള്‍ നോക്കുന്നതും പോസ്റ്റുകളുടെ സ്ക്രീന്‍ ഷോട്ട് എടുക്കുന്നവരും കുറവല്ല
[2] എന്നാല്‍ മറ്റുള്ളവരുടെ പോസ്റ്റ് അവര്‍ അറിയാതെ സ്ക്രീന്‍ ഷോട്ട് എടുക്കുന്നത് തടയാന്‍ പുതിയ ഫീച്ചര്‍ അവതരിപ്പിച്ചിരിക്കുകയാണ് ഇന്‍സ്റ്റഗ്രാം
[3] മറ്റുള്ളവരുടെ പോസ്റ്റ് ആരെങ്കിലും സ്ക്രീന്‍ ഷോട്ട് എടുത്താല്‍ ഉടനെ തന്നെ പോസ്റ്റിട്ട വ്യക്തിക്ക് അതിന്‍റെ നോട്ടിഫിക്കേഷന്‍ ലഭിക്കുന്ന ഫീച്ചറാണ് ഇന്‍സ്റ്റഗ്രാം അവതരിപ്പിച്ചിരിക്കുന്നത്
[4] സ്ക്രീന്‍ റെക്കോഡ് ചെയ്താലും ഇതേതരത്തില്‍ നോട്ടിഫിക്കേഷന്‍ വരും",മറ്റുള്ളവരുടെ പോസ്റ്റ് ആരെങ്കിലും സ്ക്രീൻ ഷോട്ട് എടുത്താൽ ഉടനെ തന്നെ പോസ്റ്റിട്ട വ്യക്തിക്ക് അതിൻറെ നോട്ടിഫിക്കേഷൻ ലഭിക്കുന്ന ഫീച്ചറാണ് ഇൻസ്റ്റഗ്രാം അവതരിപ്പിച്ചിരിക്കുന്നത്. ആപ്പിൽ കയറി നമ്മുടെ ഫോട്ടോകൾ അപ്ലോഡ് ചെയ്യുന്നത് കൂടാതെ പലരുടേയും പോസ്റ്റുകൾ നോക്കുന്നതും പോസ്റ്റുകളുടെ സ്ക്രീൻ ഷോട്ട് എടുക്കുന്നവരും കുറവല്ല.,"0, 1, 2"
66944,"[0] മുംബൈ: റിസവര്‍വ് ബാങ്ക് വായ്പ നയം പ്രഖ്യാപിച്ചു
[1] റിപ്പോ നിരക്കില്‍ അര ശതമാനം കുറവോടെയാണ് റിസര്‍വ് ബാങ്കിന്റെ നയ പ്രഖ്യാപനം
[2] കാല്‍ ശതമാനം നിരക്ക് കുറയ്ക്കും എന്ന് പ്രതീക്ഷിച്ച സ്ഥാനത്താണ് റിസര്‍വ് ബാങ്ക് ഗവര്‍ണര്‍ രഘുറാം രാജന്‍ അരശതമാനം പലിശ കുറച്ച് ഞെട്ടിച്ചത്
[3] ഏറെ ആശാവഹമായ നയപ്രഖ്യാപനമാണ് ആര്‍ബിഐയുടേതെന്ന് സാമ്പത്തിക വിദഗ്ദര്‍ പറയുന്നു
[4] ഏറ്റവും അവസോരോചിതമായ സമയത്താണ് പലിശ നിരക്കുകള്‍ അര ശതമാനം കുറച്ചത്
[5] റിപ്പോ നിരക്കുകള്‍ കുറച്ചതിന്റെ ഫലമായി ഭവന വായ്പകള്‍ ഉള്‍പ്പടെയുള്ളവയുടെ പലിശ കുറയും
[6] ബാങ്കുകള്‍ വായ്പ സ്വീകരിയ്ക്കുന്പോള്‍ റിസര്‍വ് ബാങ്കിന് നല്‍കേണ്ട പലിശയാണ് റിപ്പോ നിരക്ക്
[7] നാണയപ്പെരുപ്പം കുറഞ്ഞതും ചൈനയിലെ സാമ്പത്തിക സ്ഥിതിയുമാണ് ഇത്തരം ഒരു നയപ്രഖ്യാപനത്തിലേയ്ക്ക് റിസര്‍വ് ബാങ്കിനെ നയിച്ചത്",കാൽ ശതമാനം നിരക്ക് കുറയ്ക്കും എന്ന് പ്രതീക്ഷിച്ച സ്ഥാനത്താണ് റിസർവ് ബാങ്ക് ഗവർണർ രഘുറാം രാജൻ അരശതമാനം പലിശ കുറച്ച് ഞെട്ടിച്ചത്. നാണയപ്പെരുപ്പം കുറഞ്ഞതും ചൈനയിലെ സാമ്പത്തിക സ്ഥിതിയുമാണ് ഇത്തരം ഒരു നയപ്രഖ്യാപനത്തിലേയ്ക്ക് റിസർവ് ബാങ്കിനെ നയിച്ചത്.,"0, 1, 2"
67833,"[0] ലണ്ടന്‍: കുട്ടികള്‍ക്കെതിരായ ലൈംഗിക അതിക്രമത്തിന് ബിബിസി അവതാരകര്‍ക്കെതിരെ പോലീസ് കേസെടുത്തു
[1] ടോണി വാഡ്‌സ്‌വര്‍ത്ത്(68) ഭാര്യ ജൂലി മേയര്‍(58) എന്നിവര്‍ക്കെതിരെയാണ് കേസ്
[2] പോലീസ് അറസ്റ്റ് ചെയ്ത ഇവരെ പിന്നീട് ജാമ്യത്തില്‍ വിട്ടയച്ചിരുന്നു
[3] മെസ് 11ന് ഇരുവരോടും കോടതിയില്‍ നേരിട്ട് ഹാജരാകാന്‍ നിര്‍ദ്ദേശിച്ചിട്ടുണ്ട്
[4] ബിബിസി റേഡിയോ ലീസ്റ്റര്‍ അവതാരകരായ ഇരുവരും കഴിഞ്ഞ ഡിസംബര്‍ മുതല്‍ പരിപാടി അവതരിപ്പിക്കുന്നില്ല
[5] 1996നും 199നും ഇടയില്‍ ഇരുവരും കുട്ടികളെ ലൈംഗിക അതിക്രമത്തിന് വിധേയരാക്കിയെന്നാണ് കേസ്
[6] 11നും 15നും ഇടയില്‍ പ്രായമുള്ളവരായിരുന്നു കുട്ടികള്‍
[7] 16 വയസില്‍ താഴെ പ്രായമുള്ള കുട്ടികളുമായുള്ള ലൈംഗിക അതിക്രമത്തിനാണ് വിവിധ വകുപ്പുകള്‍ പ്രകാരം കേസ് ചുമത്തിയിരിക്കുന്നത്",16 വയസിൽ താഴെ പ്രായമുള്ള കുട്ടികളുമായുള്ള ലൈംഗിക അതിക്രമത്തിനാണ് വിവിധ വകുപ്പുകൾ പ്രകാരം കേസ് ചുമത്തിയിരിക്കുന്നത്. ബിബിസി റേഡിയോ ലീസ്റ്റർ അവതാരകരായ ഇരുവരും കഴിഞ്ഞ ഡിസംബർ മുതൽ പരിപാടി അവതരിപ്പിക്കുന്നില്ല.,"0, 1, 7"
73758,"[0] മുംബൈ: തുടര്‍ച്ചയായ മൂന്നാം ദിവസവും രൂപയുടെ മൂല്യം കുത്തനെ ഇടിഞ്ഞു
[1] ചരിത്രത്തിലെ തന്നെ ഏറ്റവും വലിയ ഇടിവായിരുന്നു കഴിഞ്ഞ ദിവസങ്ങളില്‍ രേഖപ്പെടുത്തിയത്
[2] എന്നാല്‍ ഇപ്പോഴത് പുതിയ റെക്കോര്‍ഡില്‍ എത്തിയിരിക്കുകയാണ്
[3] ഡോളറിനെതിരെ രൂപയുടെ മൂല്യം 71 ആയി കുറഞ്ഞു
[4] ഒരു അമേരിക്കന്‍ ഡോളര്‍ കിട്ടണമെങ്കില്‍ 71 രൂപ കൊടുക്കണം എന്നതാണ് സ്ഥിതി
[5] ഈ നിലയില്‍ നിന്ന് പെട്ടെന്നുള്ള ഒരു ഉയിര്‍ത്തെഴുന്നേല്‍പ്പും സാധ്യമല്ലെന്നാണ് റിപ്പോര്‍ട്ടുകള്‍",ഒരു അമേരിക്കൻ ഡോളർ കിട്ടണമെങ്കിൽ 71 രൂപ കൊടുക്കണം എന്നതാണ് സ്ഥിതി. ചരിത്രത്തിലെ തന്നെ ഏറ്റവും വലിയ ഇടിവായിരുന്നു കഴിഞ്ഞ ദിവസങ്ങളിൽ രേഖപ്പെടുത്തിയത്.,"0, 3, 4"
